spec,pooled_spearman,channel_centered_spearman,channel_macro_spearman,same_channel_pairwise_accuracy,same_channel_pair_count,same_channel_local_pairwise_accuracy,same_channel_local_pair_count,top_quintile_precision,channel_macro_ndcg,robust_rank_score,selection_score
baseline_numeric_050,0.29138125653940666,0.3028792320322079,0.30174203175288694,0.6206373292867982,659,0.6350710900473934,211,0.38095238095238093,0.8711787489005626,0.27900952561336945,0.2883868281390067
baseline_concat_char_word,0.24850429437343832,0.27404356850547745,0.29826216766731556,0.6282245827010622,659,0.6540284360189573,211,0.3333333333333333,0.8707807616720405,0.284202943403208,0.2837719833183915
baseline_channel_balanced,0.30007370437992903,0.30141974718319775,0.3149729261383232,0.6206373292867982,659,0.6066350710900474,211,0.42857142857142855,0.8846043907713054,0.26773436851880306,0.28324149682782973
baseline_numeric_025,0.3046619873215182,0.31740182879711104,0.3052622120327119,0.6206373292867982,659,0.5639810426540285,211,0.47619047619047616,0.8762947947069891,0.24797519617786906,0.273924906710906
baseline_gap03,0.2762941151503703,0.2914706846233611,0.2897443519476368,0.6115326251896813,659,0.6113744075829384,211,0.3333333333333333,0.8664090855395856,0.25675727552905936,0.2703836892654214
baseline_local_boost,0.2701450934443981,0.29066146530113773,0.2687440101768288,0.6130500758725341,659,0.6018957345971564,211,0.38095238095238093,0.8533470642686033,0.24732427410433688,0.2613715323144109
baseline_char_3_5,0.2756438073318773,0.28324843829576923,0.266833318059166,0.6084977238239757,659,0.6113744075829384,211,0.3333333333333333,0.8657770608652609,0.24745650479219083,0.2593110101581317
baseline_extended_c,0.2691118265772371,0.28174560241164,0.2713322087033939,0.6100151745068285,659,0.6066350710900474,211,0.3333333333333333,0.8663112840508486,0.24659457557719644,0.25909297725473696
baseline_reliability,0.26474031290847894,0.2799609847992365,0.26851197334717664,0.6054628224582701,659,0.5924170616113744,211,0.3333333333333333,0.8661112443722242,0.23605818157142555,0.25190195114474095
baseline_char_2_6,0.23721784090137188,0.25608178962112466,0.2550126120576109,0.6100151745068285,659,0.6303317535545023,211,0.2857142857142857,0.8620098180902936,0.2479470644503493,0.25104057788413237
baseline_gap08,0.26631550295771744,0.2778656847684793,0.2688187855389234,0.6009104704097117,659,0.5876777251184834,211,0.3333333333333333,0.8647681360520699,0.23096521534094822,0.24836836822752725
baseline_numeric_200,0.2191826374018341,0.2341317155058134,0.25445298823804013,0.6009104704097117,659,0.6113744075829384,211,0.38095238095238093,0.8517504240374576,0.22828861493228841,0.23367404607153242
baseline_train_zscore,0.20120523904171794,0.2035836860918779,0.20779832641163787,0.5796661608497724,659,0.6018957345971564,211,0.3333333333333333,0.8566203650392384,0.19362645084934335,0.19824154099432117
