pair_id,channel_name,short_video_id,long_video_id,short_duration_sec,long_duration_sec,long_title,short_languages,long_languages,chosen_language,language_choice_reason,alignment_status,needs_gemini,short_cue_count,long_cue_count,coverage,mean_match_score,predicted_start,predicted_end,predicted_start_time,predicted_end_time,source_span,segment_count,backward_jumps,span_verdict,span_ratio,accept
UMID006,워크맨,Ab2ZSmjbebg,chkzgW9aJrg,27,949,[EN/CN] 간장게장 왤케 비싸요?! 극한직업에 나온 이유가 있었네..😇ㅣ간장게장ㅣ워크돌ㅣ슈화,"aa,ab,af,ak,am,ar,as,ay,az,ba,be,bg,bho,bn,bo,br,bs,ca,ceb,co,crs,cs,cy,da,de,dv,dz,ee,el,en,eo,es,et,eu,fa,fi,fil,fj,fo,fr,fy,ga,gaa,gd,gl,gn,gu,gv,ha,haw,hi,hmn,hr,ht,hu,hy,id,ig,is,it,iu,iw,ja,jv,ka,kha,kk,kl,km,kn,ko,ko-orig,kri,ku,ky,la,lb,lg,ln,lo,lt,lua,luo,lv,mfe,mg,mi,mk,ml,mn,mr,ms,mt,my,ne,new,nl,no,nso,ny,oc,om,or,os,pa,pam,pl,ps,pt,pt-PT,qu,rn,ro,ru,rw,sa,sd,sg,si,sk,sl,sm,sn,so,sq,sr,ss,st,su,sv,sw,ta,te,tg,th,ti,tk,tn,to,tr,ts,tt,tum,ug,uk,ur,uz,ve,vi,war,wo,xh,yi,yo,zh-Hans,zh-Hant,zu","en,ko,zh",ko,preference_order,continuous,0,6,528,1.0,80.0,293.089,309.761,04:53.089,05:09.761,16.672,1,0,plausible,0.617,1
UMID009,BDNS,9-d5puHUO9M,475dCgzjNyE,45,386,너 내가 1분에 얼마 버는지 알아?,"aa,ab,af,ak,am,ar,as,ay,az,ba,be,bg,bho,bn,bo,br,bs,ca,ceb,co,crs,cs,cy,da,de,dv,dz,ee,el,en,eo,es,et,eu,fa,fi,fil,fj,fo,fr,fy,ga,gaa,gd,gl,gn,gu,gv,ha,haw,hi,hmn,hr,ht,hu,hy,id,ig,is,it,iu,iw,ja,jv,ka,kha,kk,kl,km,kn,ko,ko-orig,kri,ku,ky,la,lb,lg,ln,lo,lt,lua,luo,lv,mfe,mg,mi,mk,ml,mn,mr,ms,mt,my,ne,new,nl,no,nso,ny,oc,om,or,os,pa,pam,pl,ps,pt,pt-PT,qu,rn,ro,ru,rw,sa,sd,sg,si,sk,sl,sm,sn,so,sq,sr,ss,st,su,sv,sw,ta,te,tg,th,ti,tk,tn,to,tr,ts,tt,tum,ug,uk,ur,uz,ve,vi,war,wo,xh,yi,yo,zh-Hans,zh-Hant,zu","aa,ab,af,ak,am,ar,as,ay,az,ba,be,bg,bho,bn,bo,br,bs,ca,ceb,co,crs,cs,cy,da,de,dv,dz,ee,el,en,eo,es,et,eu,fa,fi,fil,fj,fo,fr,fy,ga,gaa,gd,gl,gn,gu,gv,ha,haw,hi,hmn,hr,ht,hu,hy,id,ig,is,it,iu,iw,ja,jv,ka,kha,kk,kl,km,kn,ko,ko-orig,kri,ku,ky,la,lb,lg,ln,lo,lt,lua,luo,lv,mfe,mg,mi,mk,ml,mn,mr,ms,mt,my,ne,new,nl,no,nso,ny,oc,om,or,os,pa,pam,pl,ps,pt,pt-PT,qu,rn,ro,ru,rw,sa,sd,sg,si,sk,sl,sm,sn,so,sq,sr,ss,st,su,sv,sw,ta,te,tg,th,ti,tk,tn,to,tr,ts,tt,tum,ug,uk,ur,uz,ve,vi,war,wo,xh,yi,yo,zh-Hans,zh-Hant,zu",ko-orig,preference_order,heavy_edit,0,23,113,0.9677,85.23,49.02,105.84,00:49.020,01:45.840,56.82,3,1,plausible,1.263,0
UMID011,BDNS,deaqIYxGIuY,lFbfMG7vbyo,50,981,"[오당기] 주호민과 함께 오지 않는 김치찜을 기다리며(주펄, 상남자, 대인배, 웹툰 작가, 슬램덩크, 신과 함께, 하이볼 제조법)","aa,ab,af,ak,am,ar,as,ay,az,ba,be,bg,bho,bn,bo,br,bs,ca,ceb,co,crs,cs,cy,da,de,dv,dz,ee,el,en,eo,es,et,eu,fa,fi,fil,fj,fo,fr,fy,ga,gaa,gd,gl,gn,gu,gv,ha,haw,hi,hmn,hr,ht,hu,hy,id,ig,is,it,iu,iw,ja,jv,ka,kha,kk,kl,km,kn,ko,ko-orig,kri,ku,ky,la,lb,lg,ln,lo,lt,lua,luo,lv,mfe,mg,mi,mk,ml,mn,mr,ms,mt,my,ne,new,nl,no,nso,ny,oc,om,or,os,pa,pam,pl,ps,pt,pt-PT,qu,rn,ro,ru,rw,sa,sd,sg,si,sk,sl,sm,sn,so,sq,sr,ss,st,su,sv,sw,ta,te,tg,th,ti,tk,tn,to,tr,ts,tt,tum,ug,uk,ur,uz,ve,vi,war,wo,xh,yi,yo,zh-Hans,zh-Hant,zu","aa,ab,af,ak,am,ar,as,ay,az,ba,be,bg,bho,bn,bo,br,bs,ca,ceb,co,crs,cs,cy,da,de,dv,dz,ee,el,en,eo,es,et,eu,fa,fi,fil,fj,fo,fr,fy,ga,gaa,gd,gl,gn,gu,gv,ha,haw,hi,hmn,hr,ht,hu,hy,id,ig,is,it,iu,iw,ja,jv,ka,kha,kk,kl,km,kn,ko,ko-orig,kri,ku,ky,la,lb,lg,ln,lo,lt,lua,luo,lv,mfe,mg,mi,mk,ml,mn,mr,ms,mt,my,ne,new,nl,no,nso,ny,oc,om,or,os,pa,pam,pl,ps,pt,pt-PT,qu,rn,ro,ru,rw,sa,sd,sg,si,sk,sl,sm,sn,so,sq,sr,ss,st,su,sv,sw,ta,te,tg,th,ti,tk,tn,to,tr,ts,tt,tum,ug,uk,ur,uz,ve,vi,war,wo,xh,yi,yo,zh-Hans,zh-Hant,zu",ko-orig,preference_order,heavy_edit,1,18,347,1.0,91.68,455.58,737.299,07:35.580,12:17.299,281.719,2,0,span_implausible,5.634,0
UMID014,OOTB,DnfJdOHTUeI,0F_QvmClgOU,36,1222,[EN] 80°C에서 정신이 홀란스러워졌습니다  {찜질방 VIP} | 상팔자 ep.7,"aa,ab,af,ak,am,ar,as,ay,az,ba,be,bg,bho,bn,bo,br,bs,ca,ceb,co,crs,cs,cy,da,de,dv,dz,ee,el,en,eo,es,et,eu,fa,fi,fil,fj,fo,fr,fy,ga,gaa,gd,gl,gn,gu,gv,ha,haw,hi,hmn,hr,ht,hu,hy,id,ig,is,it,iu,iw,ja,jv,ka,kha,kk,kl,km,kn,ko,ko-orig,kri,ku,ky,la,lb,lg,ln,lo,lt,lua,luo,lv,mfe,mg,mi,mk,ml,mn,mr,ms,mt,my,ne,new,nl,no,nso,ny,oc,om,or,os,pa,pam,pl,ps,pt,pt-PT,qu,rn,ro,ru,rw,sa,sd,sg,si,sk,sl,sm,sn,so,sq,sr,ss,st,su,sv,sw,ta,te,tg,th,ti,tk,tn,to,tr,ts,tt,tum,ug,uk,ur,uz,ve,vi,war,wo,xh,yi,yo,zh-Hans,zh-Hant,zu","aa,ab,af,ak,am,ar,as,ay,az,ba,be,bg,bho,bn,bo,br,bs,ca,ceb,co,crs,cs,cy,da,de,dv,dz,ee,el,en,eo,es,et,eu,fa,fi,fil,fj,fo,fr,fy,ga,gaa,gd,gl,gn,gu,gv,ha,haw,hi,hmn,hr,ht,hu,hy,id,ig,is,it,iu,iw,ja,jv,ka,kha,kk,kl,km,kn,ko,ko-orig,kri,ku,ky,la,lb,lg,ln,lo,lt,lua,luo,lv,mfe,mg,mi,mk,ml,mn,mr,ms,mt,my,ne,new,nl,no,nso,ny,oc,om,or,os,pa,pam,pl,ps,pt,pt-PT,qu,rn,ro,ru,rw,sa,sd,sg,si,sk,sl,sm,sn,so,sq,sr,ss,st,su,sv,sw,ta,te,tg,th,ti,tk,tn,to,tr,ts,tt,tum,ug,uk,ur,uz,ve,vi,war,wo,xh,yi,yo,zh-Hans,zh-Hant,zu",ko-orig,preference_order,continuous,0,11,414,1.0,94.04,457.8,487.52,07:37.800,08:07.520,29.72,1,0,plausible,0.826,1
