channel_name,short_video_id,short_video_url,long_video_id,long_video_url,pair_id,percentile_bucket,channel_performance_percentile,metadata_duration_sec,short_title,short_views
BDNS,7897ufDS5Is,https://www.youtube.com/shorts/7897ufDS5Is,P-qjWtLKEwE,https://www.youtube.com/watch?v=P-qjWtLKEwE,NB001,p40_60,49.2,59,중고 거래 사기 모음집,232000
피식대학,GFShZ9okCIA,https://www.youtube.com/shorts/GFShZ9okCIA,k6B4Ab6nDt0,https://www.youtube.com/watch?v=k6B4Ab6nDt0,NB002,p40_60,50,35,흑백요리사 닉네임 정하기 (2000년대 ver),553000
피식대학,DC7zOTOcK1w,https://www.youtube.com/shorts/DC7zOTOcK1w,Jgfn13L02_c,https://www.youtube.com/watch?v=Jgfn13L02_c,NB003,p40_60,49.9,44,외모 췍 아는 척 하는 39살 아저씨들,552000
피식대학,T8d_vw6OXSU,https://www.youtube.com/shorts/T8d_vw6OXSU,dqIWQtVRcJk,https://www.youtube.com/watch?v=dqIWQtVRcJk,NB004,p40_60,49.7,54,축구 5대 리그를 서술하시오,551000
