model,pooled_spearman,channel_centered_spearman,channel_macro_spearman,same_channel_pairwise_accuracy,same_channel_pair_count,same_channel_local_pairwise_accuracy,same_channel_local_pair_count,top_quintile_precision,channel_macro_ndcg,robust_rank_score,selection_score
frozen_equal_weight_ensemble,0.29066591793906443,0.31247426113857174,0.32032967428556547,0.6145675265553869,659,0.5876777251184834,211,0.47619047619047616,0.8671814206220594,0.25932360969296947,0.28176218224325944
numeric_050,0.2874143788465997,0.30852209177021256,0.30317526285261726,0.6084977238239757,659,0.5876777251184834,211,0.42857142857142855,0.8617688854366544,0.251012063126937,0.27321405024660794
channel_balanced,0.2753475559923417,0.3002564944075015,0.3022552958091886,0.6009104704097117,659,0.5781990521327014,211,0.38095238095238093,0.8549627358030509,0.24018270882537907,0.2645120432684811
numeric_025,0.2945822161348775,0.30897005246644343,0.2920022554574145,0.6069802731411229,659,0.5734597156398105,211,0.47619047619047616,0.8670046125358968,0.24046307137143116,0.26532069425808175
