model,deployment_eligible,pooled_spearman,channel_centered_spearman,channel_macro_spearman,source_residual_spearman,same_channel_pairwise_accuracy,same_channel_pair_count,same_channel_local_pairwise_accuracy,same_channel_local_pair_count,top_quintile_precision,channel_macro_ndcg,robust_rank_score,selection_score,loco_pooled_spearman,loco_channel_centered_spearman,loco_channel_macro_spearman,loco_source_residual_spearman
fixed_v10,True,0.013114752199135212,0.008017748209400377,-0.026861940380095012,0.04185137415825787,0.503793626707132,659,0.43364928909952605,211,0.3333333333333333,0.7947382249704961,-0.03598959013934463,-0.02361860808827093,nan,nan,nan,nan
fixed_equal_quality,True,0.013114752199135212,0.008017748209400377,-0.026861940380095012,0.04185137415825787,0.503793626707132,659,0.43364928909952605,211,0.3333333333333333,0.7947382249704961,-0.03598959013934463,-0.02361860808827093,nan,nan,nan,nan
ridge_quality,True,-0.2397296176279133,-0.227303927474553,-0.23097060393814708,-0.2408421605311518,0.4188163884673748,659,0.44075829383886256,211,0.14285714285714285,0.7119198749864811,-0.18478129170005636,-0.2023403474793941,nan,nan,nan,nan
ridge_quality_structure,True,0.10111564013322565,0.10676637432585727,0.12607707205487026,0.011170036004714728,0.5341426403641881,659,0.5781990521327014,211,0.3333333333333333,0.8289524765548286,0.11438170784362664,0.11423217909587084,nan,nan,nan,nan
pairwise_quality_structure,True,0.13542299037994246,0.14291391244267826,0.12951895813540526,0.06589309725937795,0.5523520485584219,659,0.5971563981042654,211,0.2857142857142857,0.8229817047065006,0.1428624409758645,0.14087378641649906,nan,nan,nan,nan
extra_trees_quality_structure,True,0.021387901585990274,0.006018568709036955,0.016137700371808394,-0.039658685400956746,0.5326251896813353,659,0.6161137440758294,211,0.23809523809523808,0.7756482482892967,0.0799085341487937,0.051870417722306716,nan,nan,nan,nan
char_tfidf,True,0.1821439943174469,0.16038437959568108,0.16569660406827785,0.16580928607516057,0.5569044006069803,659,0.46445497630331756,211,0.5714285714285714,0.8299457318081832,0.09219993437113867,0.12027054613184515,nan,nan,nan,nan
char_tfidf_numeric,True,0.20485418846770617,0.2091615192772039,0.20875865619251152,0.12151207343291867,0.5705614567526556,659,0.5734597156398105,211,0.38095238095238093,0.8445874698544555,0.17649063006366186,0.18949855628637483,nan,nan,nan,nan
pairwise_char_tfidf,True,0.13905748852107527,0.15765326438317692,0.1428997972439306,0.1843272694387336,0.5447647951441578,659,0.4881516587677725,211,0.5714285714285714,0.8205829487906177,0.091596492362742,0.11580618110002903,nan,nan,nan,nan
pairwise_char_tfidf_numeric,True,0.24235527266746615,0.2577219037831311,0.2543646777454341,0.20994032095019133,0.5918057663125948,659,0.6018957345971564,211,0.2857142857142857,0.8606109456653784,0.2248723958370169,0.23750861510980803,nan,nan,nan,nan
rank_ensemble_text_structure,True,0.20330790098817847,0.20849680340537746,0.20271593833195237,0.17598948059692193,0.5705614567526556,659,0.5734597156398105,211,0.5238095238095238,0.8924773213027781,0.17481377163056547,0.1874198545794765,nan,nan,nan,nan
stacked_text_structure,True,0.12168704412488587,0.10596438017615366,0.23368583896592468,0.0835585164259546,0.5417298937784522,659,0.5260663507109005,211,0.47619047619047616,0.840644400521889,0.11881067703019589,0.13283037710704465,nan,nan,nan,nan
constant,False,-0.32418730137280577,-0.3173730359750617,-0.27709129872399635,-0.3667426544769374,0.36646433990895294,659,0.43601895734597157,211,0.09523809523809523,0.7303376605440398,-0.24737443504730228,-0.26933161483074625,nan,nan,nan,nan
random,False,-0.08594179103505686,-0.11800874276674742,-0.07562693920702772,-0.14131612821229972,0.4658573596358118,659,0.5023696682464455,211,0.14285714285714285,0.7679414637555385,-0.06429540655231514,-0.0794234705041301,nan,nan,nan,nan
source_presence_fixed,False,0.15724016403094146,0.1779597154597897,0.1771019987996675,0.05732772061735275,0.5682852807283764,659,0.5308056872037915,211,0.47619047619047616,0.8255175040495976,0.13831091253094824,0.15404177620346649,nan,nan,nan,nan
source_only,False,-0.09031782509016134,-0.006893138294888057,-0.08392436032517982,-0.31950982487085855,0.48179059180576633,659,0.466824644549763,211,0.23809523809523808,0.7706446856653053,-0.04839675647725229,-0.043349992508850355,nan,nan,nan,nan
nested_selected_pipeline,True,0.11252492952656301,0.10477222671037803,0.1345023350382014,0.057909339312929194,0.5462822458270106,659,0.5592417061611374,211,0.3333333333333333,0.8229925049794701,0.11258061643121886,0.11391677679205603,nan,nan,nan,nan
